x1,x2,x3,A,event,FT,CC,obs.Y,tau,lambda,Y1,Y0,g.opt
0.213962502,1.263568143,1.650368192,0,1,1.798404284,8515.54037,171324.888,3,1.00E+05,290570.2538,171302.3314,1
0.479658135,1.982597175,-1.188216684,1,0,2.946846531,89628.9815,205055.6716,3,1.00E+05,243952.5464,210200.6016,1
0.087828705,0.914657817,2.299814756,0,1,1.685301638,1026.089453,167504.0744,3,1.00E+05,248996.4899,166316.4876,1
0.443858507,0.7345928,0.225391836,1,1,2.644400552,20497.72036,243942.3349,3,1.00E+05,226987.7855,160987.7504,1
-0.362837921,0.738991262,-0.464492933,1,1,2.108707621,21866.92022,189003.8419,3,1.00E+05,205145.2411,125216.878,1
0.12267403,0.121334212,0.11276927,0,1,1.074883191,3188.423462,104299.8957,3,1.00E+05,114634.5581,97455.70826,1
-0.863845188,0.430002175,-1.353028837,0,1,0.836046313,1409.043999,82195.58732,3,1.00E+05,105635.4413,82040.30492,1
0.489624267,2.149375854,1.096437717,1,1,10.40209152,81968.63884,218031.3612,3,1.00E+05,186154.4793,271683.4315,0
-0.364116913,-0.064024579,-0.01487423,1,0,0.876446919,3587.194033,84057.4979,3,1.00E+05,86116.99596,85617.75413,1
-1.294242007,2.009997375,0.018050382,0,1,1.413340214,9704.609966,131629.4115,3,1.00E+05,244570.8319,140262.7675,1
-0.745769045,0.906539762,0.127533822,1,1,2.409659277,13307.31251,227658.6152,3,1.00E+05,232093.4317,134797.1215,1
0.921550362,1.239031228,-0.768141908,1,1,4.147990446,28907.06833,271092.9317,3,1.00E+05,231881.9835,189714.4775,1
0.75005435,0.988589294,2.469435409,1,0,0.75380851,1080.095355,74300.75569,3,1.00E+05,68364.59546,68815.78314,0
-2.508554016,1.594110716,3.233772749,1,1,4.290340569,81844.17527,218155.8247,3,1.00E+05,280671.9062,157361.248,1
-3.040934095,1.249949491,-1.251800329,1,1,1.806854864,5095.042431,175590.444,3,1.00E+05,173949.1463,85036.93193,1
0.000265801,0.960589855,-0.315286436,0,1,1.292659176,2465.938734,126799.9788,3,1.00E+05,219598.4226,125252.7585,1
-0.394018994,0.786384631,1.245116623,1,1,2.594656224,18051.0811,241414.5413,3,1.00E+05,246897.3332,155114.8626,1
-1.745027661,1.647493784,-0.097928437,0,1,1.145051666,3455.640541,111049.5261,3,1.00E+05,260101.8493,108771.9831,1
0.498631451,2.831833499,2.313300928,0,1,3.25634836,22751.40593,277248.5941,3,1.00E+05,-243195.1065,271891.982,0
0.270953789,2.906558608,-0.119178868,1,0,3.100841636,146141.0337,153858.9663,3,1.00E+05,41728.22443,281360.0954,0
1.09892152,-0.067063499,0.34291665,1,1,1.482483645,5407.340636,142841.0238,3,1.00E+05,145145.8016,149836.6188,0
